text,label,prediction(label),confidence(fear),confidence(joy),confidence(love),confidence(sadness),confidence(anger)
takan ragukan besarnya kasih sayang tuhan ,,sadness,0.0,0.0,0.0,1.0,0.0
cebong dungu maksd hati pengen cari kesalahan username username lwat pohon plastik kebongkar skandalnya kasian ahok gantipresiden ,,anger,0.0,0.0,0.0,0.0,1.0
,,love,0.0,0.0,1.0,0.0,0.0
melody membatasi member dibales mentionnya dikenal ,,anger,0.0,0.0,0.0,0.0,1.0
amarah membuatku meluapkan ,,anger,0.0,0.0,0.0,0.0,1.0
error,,fear,1.0,0.0,0.0,0.0,0.0
terima kasih mommy jesica kepercayaan username treatment kehamilan semoga sehat lancar ,,sadness,0.0,7.620548220555179e-134,0.0,1.0,0.0
seminggu nunggu ,,joy,0.0,1.0,0.0,0.0,0.0
,,love,0.0,0.0,1.0,0.0,0.0
semoga tuhan senantiasa menyertai langkahmu ,,fear,1.0,0.0,0.0,0.0,0.0
tenganan festival festival pariwisata unggulan karangasem memiliki tagline karangasemthespiritofbali menjanjikan keunikan adat tradisi budaya adiluhung live event tradisi perang pandan mendunia ,,joy,0.0,1.0,0.0,0.0,0.0
ngerti bayangkan sulit melototi apbd rinci untung gubernurnya ,,fear,1.0,0.0,0.0,0.0,0.0
situasi membuatmu marah merubah aliran timebender ,,sadness,0.0,0.0,0.0,1.0,0.0
kelas,,love,0.0,0.0,1.0,0.0,0.0
username rumah dimana rindu berpulang ,,sadness,0.0,0.0,0.0,1.0,0.0
username namanya kerja profesional ,,anger,0.0,0.0,0.0,0.0,1.0
namanya keberpihakan username username program unggulan okeh ngoce melibatkan warga mengisi tong sampah biar sampah jakarta berasa sampah jerman ,,joy,0.0,1.0,0.0,0.0,0.0
selamat ulang istriku semoga sehat umur ,,joy,0.0,1.0,0.0,0.0,0.0
bagus tindakan hebat sebentar tunjangan hakim ,,anger,0.0,0.0,0.0,0.0,1.0
marah memenuhi pikiranmu sulit berpikir rasional blindedbyanger ,,anger,0.0,0.0,0.0,0.0,1.0
situasi membuatmu marah kehilangan kendali dirimu losingcontrol ,,anger,0.0,0.0,0.0,0.0,1.0
username kasihan ngemis ngemis sodorin nama nama cawapres pilih menit menit pilih cawapresnya tamat cawapres pilihannye ,,anger,0.0,0.0,0.0,0.0,1.0
selamat sore nona username kenalkan ,,sadness,0.0,0.0,0.0,1.0,0.0
jatuh cinta banget poni samping sayang senyum gini ,,joy,0.0,1.0,0.0,0.0,0.0
alhamdulillah happy mkin aktif monthdedek nazhiaputriadhitya sehatterussayang cintaudek ,,love,0.0,0.0,1.0,0.0,0.0
sadari pilihan bersamamu ,,joy,0.0,1.0,0.0,0.0,0.0
alhamdulillah bahagia ramadhan menjembatani syeh palestina hadir masjid pelalawan ,,sadness,0.0,0.0,0.0,1.0,0.0
cinta perasaan hidup intens penuh makna ðÿÿ alivewithlove ,,love,0.0,0.0,1.0,0.0,0.0
ragu bilang rindu kesal keubun ubun kode morse bilang ,,sadness,0.0,0.0,0.0,1.0,0.0
bingung bbrp muka kering parah ,,fear,1.0,0.0,0.0,0.0,0.0
sayang orang sayang ,,love,0.0,0.0,1.0,0.0,0.0
username molor ,,love,0.0,0.0,1.0,0.0,0.0
amarah membuatku kehilangan kendali diriku ,,anger,0.0,0.0,0.0,0.0,1.0
memutuskan daftar gabung volunteer username maret berkesempatan local leaders username volunteer indonesia berkumpul berbagi semangat berbagi ilmu seru banget erbatas ,,joy,0.0,1.0,0.0,0.0,0.0
momen hidup menghargai detik ðÿÿðÿ livingfully ,,love,0.0,0.0,1.0,0.0,0.0
username username dana mengendap bukalapak gara bekukan bukalapak bukti kirim pedagang mengirim barang pesanan membekukan ,,anger,0.0,0.0,0.0,0.0,1.0
berjuang bertahan badai sedih ,,sadness,0.0,0.0,0.0,1.0,0.0
berhadapan bayangan bayangan mencekam facingsinisterfigures ,,fear,1.0,0.0,0.0,0.0,0.0
selamat sore raper tampan ,,love,0.0,0.0,1.0,0.0,0.0
menghancurkan amarah membutakan destructiveurge ,,anger,0.0,0.0,0.0,0.0,1.0
ekhem halo sayang phirel couple tampan couple liat ,,love,0.0,0.0,1.0,0.0,0.0
username kesekian kalinya ,,anger,1.2507588248076426e-28,0.0,0.0,0.0,1.0
motor dijalam bocah bang ,,joy,0.0,1.0,0.0,0.0,0.0
kaget sayang gatau wkwk putus yekan deket ,,sadness,0.0,0.0,0.0,1.0,0.0
momen berusaha keras meledakkan amarahmu containingrage ,,anger,0.0,0.0,0.0,0.0,1.0
kali liat kasur selimut nggak tergoda tergoda baring lantai kipas majalaya emang beda benua bandung ,,sadness,0.0,0.0,0.0,1.0,0.0
udah maghrib ,,fear,1.0,0.0,0.0,0.0,0.0
teman,,love,0.0,0.0,1.0,0.0,0.0
love life ,,love,0.0,0.0,1.0,0.0,0.0
allaaaahhh kesel ,,anger,0.0,0.0,0.0,1.2544813179829284e-97,1.0
kisah tubuh terselimut putih kusadari cinta menghampiriku ,,joy,0.0,1.0,0.0,0.0,0.0
terlahir keluarga bahagia penuh cinta penuh kasih tumbuh sosok penuh karisma memcintai dicinta berjuta manusia ,,sadness,0.0,0.0,0.0,1.0,0.0
username apaa sengajanya ,,love,0.0,0.0,1.0,0.0,0.0
username username username username username jalan makassar bandara kosong tempo padat penuh kendaraan alangkah bodohnya orang username bisanya ,,fear,1.0,0.0,0.0,0.0,0.0
username memikirkan blunder puasa nuduh username username melahirkan koruptor ,,anger,0.0,0.0,0.0,0.0,1.0
kalimat masasih uang kmrn dksh gacukup boros bangetsih ,,sadness,0.0,0.0,0.0,1.0,0.0
melawan dorongan mengamuk melampiaskannya ,,anger,0.0,0.0,0.0,0.0,1.0
username username mnta maap kalik beda perspektif wajar lebay ngapus twit bela simic slama lapor pulisi bhwa korban pelecehan tetep urusan private mreka bdua ,,anger,0.0,0.0,0.0,0.0,1.0
,,love,0.0,0.0,1.0,0.0,0.0
username akui jago komentator analis balan ,,anger,0.0,0.0,0.0,0.0,1.0
hebatnya mardani oeang mulut faktanya capres lagipula koalisinya gerindra nggak yaow ,,anger,0.0,0.0,0.0,0.0,1.0
disaatku berdaya kuasamu sempurna percaya mukjizat nyata kekuatan rohmu yatuhan berdoa mukjizat nyata ,,love,0.0,0.0,1.0,0.0,0.0
terbukti contoh perbuatan ,,anger,0.0,0.0,0.0,0.0,1.0
username username contoh manusia buta matanya tipu muslihat bilang paktanya waras ,,fear,1.0,0.0,0.0,0.0,0.0
lihat profil diisi jokes twitter ritwit keluhan insomnia kunjung habisnya wrong with ,,anger,0.0,0.0,0.0,0.0,1.0
meledak kemarahan ,,anger,0.0,0.0,0.0,0.0,1.0
gini dipepet dikejar orang malem gini lumayan bikin senam jantung kejar kejaran ngebut ,,fear,1.0,0.0,0.0,0.0,0.0
besoknya mamak telpon kemaren bapakmu bandel kali ,,joy,0.0,1.0,0.0,0.0,0.0
kesannya vallen persija wanita sexual harassment bikin kesannya persija dukung sexual harassment simic emang ngawur layak dapet ganjaran ,,anger,0.0,0.0,0.0,0.0,1.0
degdegan gemeter hati tenang ngantuk udah ilang selera makan ilang gimana besok allah takutt banget kalo sampek ngapain ,,anger,0.0,0.0,0.0,6.672608396475349e-149,1.0
disuruh,,anger,0.0,0.0,0.0,8.316094259607031e-108,1.0
berjalan lingkaran kehidupan monoton ,,sadness,0.0,0.0,0.0,1.0,0.0
menikmati denyut jantungku merasakan hirup nafas ,,love,0.0,0.0,1.0,0.0,0.0
wajah terkasih dipuja pipi tirus diusap mata terpejam dikecup membenarkan orang ,,joy,0.0,1.0,0.0,0.0,0.0
kuat jaga harga woles harga dilecehkan adat ketimuran disamain kebablasan woles dilecehin situ perempuan jadian ,,anger,0.0,0.0,0.0,0.0,1.0
ritual kalo tidur nyanyi lagu sayang kaka ,,joy,0.0,1.0,0.0,0.0,0.0
cinta mengalahkan takut keraguan ,,fear,1.0,0.0,0.0,0.0,0.0
pantesan notif video bikin jatuh cinta pandangan adekgemas fever melanda ,,anger,0.0,0.0,0.0,0.0,1.0
dunia tantangan bikin stres sbenarnya obat termanjur dikala gundah melanda nelfon bilang doain kemudiam ktika ,,sadness,0.0,0.0,0.0,1.0,0.0
kemarin lihat puisinya adimas imanuel judulnya love never from ,,joy,0.0,1.0,0.0,0.0,0.0
username username ,,love,0.0,0.0,1.0,0.0,0.0
gimana hadiahnya hadeh bingitt ,,anger,0.0,0.0,0.0,0.0,1.0
cinta cinta sayyidina karromallahu wajhah tidur menggantikan rasulullah ,,love,0.0,0.0,1.0,0.0,0.0
mudik kali bawaan lumayan ,,fear,1.0,0.0,0.0,2.014268149088236e-137,0.0
username username tolol didik kacung mengerti ibadah puasa takut laparrrr rakyat memiliki menikmati tanahnya liang lahatnya ,,anger,0.0,0.0,0.0,0.0,1.0
acara tahunan sanusi family ,,fear,1.0,0.0,0.0,0.0,0.0
kayanya kalo shopee emang nitip akun orang ,,sadness,0.0,0.0,0.0,1.0,0.0
pacaran diputusin karna istiqomah konon hijrah ,,sadness,0.0,0.0,0.0,1.0,7.901347424888744e-75
marah membuatmu menghancurkan jalanmu destructiveimpulse ,,anger,0.0,0.0,0.0,0.0,1.0
lakukan dasar cinta ,,love,0.0,0.0,1.0,0.0,0.0
makasih doanya genks dukung nyangka maju tahan maygad makasi bambang lurah pondok cabe dukung nonton love genks ,,anger,0.0,0.0,0.0,0.0,1.0
kali liat mino ketawa senyum ikutan senyum semangat song mino will always with ,,sadness,0.0,0.0,0.0,1.0,0.0
lidah,,love,0.0,0.0,1.0,0.0,0.0
sayang trainee ngeharep debut gitu lolos feel like they deserve that ,,anger,0.0,0.0,0.0,0.0,1.0
doang ngakak nonton username username mochtar ngabalin hahaaa ,,anger,0.0,0.0,0.0,0.0,1.0
username kadang enggan menghubungi kondektur larut malam kritik harapan pengecekan berkala dijadikan ,,anger,0.0,0.0,0.0,0.0,1.0
askmf beraniin line duluan sampe skrng masi takut buka line aplkasinya stop gada notif takut gadibaless ,,sadness,0.0,0.0,0.0,1.0,0.0
baiknya gubernur anies baswedan dimosi percaya biar lengser username username username username username username username username username username ,,anger,0.0,0.0,0.0,0.0,1.0
bahahahahajahahhaaa penyakit emanggg udahh wkwkw tahan ampe agustus lisa kekokas niatnya liat lisa ngeri ujungnya kemana ,,fear,1.0,0.0,0.0,0.0,0.0
pokoknya sayang serius gabohong love youu xeno ,,joy,0.0,1.0,0.0,0.0,0.0
username benihbenih cinta ngomong pake bahasa indo ,,sadness,0.0,0.0,0.0,1.0,0.0
ceritain apapun ttglo sbnrnya buka ngga pengen ,,sadness,0.0,0.0,0.0,1.0,0.0
suka,,love,0.0,0.0,1.0,0.0,0.0
aneh wanita dilecehin ngelawan ,,anger,0.0,0.0,0.0,0.0,1.0
kurangi sampah plastik baiknya alasan gedein bujet kampanye seremoni kongkrit ,,anger,0.0,0.0,0.0,0.0,1.0
krna penyanyi dangdut pake baju seksi manggung trima chat kaya pesepak bola penyampaiannya diputer puter ,,anger,0.0,0.0,0.0,0.0,1.0
bodoamat kuping paginya budeg ,,joy,0.0,1.0,0.0,0.0,0.0
kadang suka miris liat jalan daerah pelosok dibangun pemerintah pusat nyediain pedestrian pisan ,,anger,0.0,0.0,0.0,0.0,1.0
mayoritas kakak kakaknya dateng sepulang kerja ,,fear,1.0,0.0,0.0,0.0,0.0
menemukan lagu langsung membuatmu menari henti ðÿ dancefever ,,joy,0.0,1.0,0.0,0.0,0.0
cinta menutup logikaku meniupkan sukmanya hatiku apapun lakukan sempurna bagiku ,,sadness,0.0,0.0,0.0,1.0,0.0
meledak marahku ,,anger,0.0,0.0,0.0,0.0,1.0
amarah membuatku meledak singkat ,,anger,0.0,0.0,0.0,0.0,1.0
ketimpangan sosial picak mata kaum kampret model memutarbalikan fakta tolol mikirnya ,,anger,0.0,0.0,0.0,0.0,1.0
username rumah kuenya ,,love,0.0,0.0,1.0,0.0,0.0
cinta dije hahahahahahahahaha goodnayt mimimingg menyelesaikan meng approve usulan daerah ,,sadness,0.0,0.0,0.0,1.0,7.09357871626505e-116
username username yaelah sabar lebaran monyet engga ditanggapin cepat kalo engga diserang follow tajam langsung plasa telkom telepon pengalaman banget telkom ,,joy,0.0,1.0,0.0,0.0,0.0
badai mengamuk diriku marahku ,,anger,0.0,0.0,0.0,0.0,1.0
jatibaru,,love,0.0,0.0,1.0,0.0,0.0
berjuang menahan marah memuncak ,,anger,0.0,0.0,0.0,0.0,1.0
kemarahan membuatku menghancurkan ,,anger,0.0,0.0,0.0,0.0,1.0
okay emosi kaya alah control emosi ,,sadness,0.0,0.0,0.0,1.0,0.0
terseram,,love,0.0,0.0,1.0,0.0,0.0
momen pasanganmu memiliki ikatan kuat ,,love,0.0,0.0,1.0,0.0,0.0
terjebak labirin takut mencekam terrifyinglabyrinth ,,fear,1.0,0.0,0.0,0.0,0.0
pjlnn kereta jogja indah ,,sadness,0.0,0.0,0.0,1.0,0.0
generasi jara pacoa terik pagi mengantarkan pantai termasyhur namanya bima pantai kalaki ,,joy,0.0,1.0,0.0,0.0,0.0
dekati zina zina mudah supir truk laki suka jajan sadar supir truk taubat ,,fear,1.0,0.0,0.0,0.0,0.0
cegah radikalisme mohon deskripsikan batasan radikalisme batasannya kriminalisasi ajaran islam ,,fear,1.0,0.0,0.0,0.0,0.0
askmf serius nanya ,,fear,1.0,0.0,0.0,0.0,0.0
pejuang vallen aset bangsa tersisa direbut bangsa diam oldmoneygakngerasain ,,sadness,0.0,0.0,0.0,1.0,0.0
kali mengingatnya ,,sadness,0.0,0.0,0.0,1.0,0.0
sahabat,,love,0.0,0.0,1.0,0.0,0.0
wowo pemaf maaf pendendam akun bwat delcon picik otak ,,anger,0.0,0.0,0.0,0.0,1.0
username username username username username username semoga lebaran kegembiraan ,,joy,0.0,1.0,0.0,0.0,0.0
mendalam terhubung nilai tujuan hidup ,,joy,0.0,1.0,0.0,0.0,0.0
nggak ngerti ciwi ciwi nyinyirin vallen ,,anger,0.0,0.0,0.0,0.0,1.0
menghela napas telingaku ,,fear,1.0,0.0,0.0,0.0,0.0
cerita magrib sempet rumah nganterin adek bukber ,,fear,1.0,0.0,0.0,0.0,0.0
mbak,,love,0.0,0.0,1.0,0.0,0.0
username username username username viralkan ngaji jokowi tukang kriminal ulama prabowo ,,fear,1.0,0.0,0.0,0.0,0.0
,,love,0.0,0.0,1.0,0.0,0.0
kangen pengen meluk pengen berduaan tunggu sampe love sayang username ,,love,0.0,0.0,1.0,0.0,0.0
kemarin ganti susah ,,fear,1.0,0.0,0.0,0.0,8.321572435846312e-59
langsung,,love,0.0,0.0,1.0,0.0,0.0
udah takut belok miring jatoh konyol jatoh masuk jurang benjol ,,fear,1.0,0.0,0.0,0.0,0.0
ganti ganti kali menyiksa batin axis ,,sadness,0.0,0.0,0.0,1.0,0.0
diatas langit langit kepentingan politik negri pragmatis mendukung kepentingan domestik sekedar sentimen negara donor terbesar palestina ,,sadness,0.0,0.0,0.0,1.0,0.0
ngomong kayaknya dendam anies disakiti anies salah anies kpdmu dendam klmpok puny ,,anger,0.0,0.0,0.0,0.0,1.0
rosulullah,,love,0.0,0.0,1.0,0.0,0.0
dikampung ngerti udahlah beli amplop lebaran lucu lucu isiin duit udah bener ,,fear,1.0,0.0,0.0,0.0,0.0
takut,,love,0.0,0.0,1.0,0.0,0.0
username gubernur jakarta trotoar pejalan kaki dirapikan dijadikan berdagang jalan kaki satrio pedestrian sungguh nyaman ,,sadness,0.0,0.0,0.0,1.0,0.0
username paket resi tertahan kurir toha bandung mohon dilanjutkan pengirimannya ,,anger,0.0,0.0,0.0,0.0,1.0
mencintai dicintai hadiah terindah hidup ,,love,0.0,0.0,1.0,0.0,0.0
ngelatih dikasih amanat tugas master ngelatih atlet korea international semoga pelatih profesional ,,joy,0.0,1.0,0.0,0.0,0.0
suka,,love,0.0,0.0,1.0,0.0,0.0
,,love,0.0,0.0,1.0,0.0,0.0
terdidik budaya malu ,,joy,0.0,1.0,0.0,0.0,0.0
instagram hits ,,joy,0.0,1.0,0.0,0.0,0.0
allah masha allah allah kasihkan gunung dosa himpun ,,anger,0.0,0.0,0.0,0.0,1.0
cinta membantumu dimanapun memintanya ,,love,0.0,0.0,1.0,0.0,0.0
username gimana jelasinnya wkwkwk orang kalinya bikin degdegan ,,love,0.0,0.0,1.0,0.0,0.0
username kubu doyan mempolitisir agama ,,fear,1.0,0.0,0.0,0.0,0.0
username username username username username username username username lihat bajunya ,,fear,1.0,0.0,0.0,0.0,0.0
merasakan hampa mendalam ,,sadness,0.0,0.0,0.0,1.0,0.0
temen ngga ketemu main kedai ,,joy,0.0,1.0,0.0,0.0,0.0
seakan apanya nikah nikah nikah nikah nikah nikah nikah nikah nikah hmmmmm kepala isinya nikah ngapa nikah gampang apah ,,fear,1.0,0.0,0.0,0.0,0.0
bahagiaku bersamamu ,,love,0.0,0.0,1.0,0.0,0.0
cinta menghadirkan kebahagiaan mengalami kesulitan bringingjoy ,,love,0.0,0.0,1.0,0.0,0.0
username username username ,,love,0.0,0.0,1.0,0.0,0.0
aqilah cinta hatiku ,,love,0.0,0.0,1.0,0.0,0.0
ngeri bacanya ibuku bilang gitu ,,anger,0.0,0.0,0.0,0.0,1.0
ngoceh artis follow masku ngoceh dikit temen kerja komentar haha kasian beli tiket mahal salaman kaga folbek like pfftt males ngobrol orang gblk emang ,,joy,0.0,1.0,0.0,0.0,0.0
sayang kesabaran peduli materi janjibila menyediakan menghadapi kelemahan falafu ,,joy,0.0,1.0,0.0,0.0,0.0
swear kalo ngechat balas secepat kilat dibales kalo dichat gitu ,,anger,0.0,0.0,0.0,0.0,1.0
meruntuhkan egoku mudah ,,love,0.0,0.0,1.0,0.0,0.0
nyadar warga aceh kena dirisendiri salah pejabat aturan ,,joy,0.0,1.0,0.0,0.0,0.0
,,love,0.0,0.0,1.0,0.0,0.0
diam lawan memparalat hukum tujuan kekuasaan diam lawan front linernya komunis berkedok pancasila ,,anger,0.0,0.0,0.0,0.0,1.0
modal haha haha bareng jatuh cinta nyaman sereceh ,,joy,0.0,1.0,0.0,0.0,0.0
mrasa kangen berjalan memegang tangannya ,,love,0.0,0.0,1.0,0.0,0.0
ngakak liatnya wkwk ,,joy,0.0,1.0,0.0,0.0,0.0
indahnya jatuh cinta orang suka ,,love,0.0,0.0,1.0,0.0,0.0
protes warga terima anaknya diterima masuk negeri kualitas sekolah negeri anak sukses biayanya murah zaman sulit ,,joy,0.0,1.0,0.0,0.0,0.0
marah kesakitan painfulanger ,,love,0.0,0.0,1.0,0.0,0.0
mudaku belajar berkelana kelak menikah melulu pekerjaan rumah tangga mengajakmu berkelana singgahi bilang memeluk terimakasih sayang ,,sadness,0.0,0.0,0.0,1.0,0.0
kupeluk engkau erat merebut pelukan happy anniversary months ,,love,0.0,0.0,1.0,0.0,0.0
username bali username beraksi menangkap tikus korupsi pejabat bali jalur presiden username enggan sungkan takut menangkap koruptor merugikan anggaran negara ,,anger,0.0,0.0,0.0,0.0,1.0
ngomong pokoknya sayang longguo ,,love,0.0,0.0,1.0,0.0,0.0
senyum ramah lohh fansnya angkuh rodo ngadoh piee ngono rasakne sumpah wagu polahmu ,,anger,0.0,0.0,0.0,0.0,1.0
momen mengubah realitas kekuatan amukanmu ðÿâ realitychanger ,,anger,0.0,0.0,0.0,0.0,1.0
cerita cerita cerita harap hubungan suami isteri halal huhu bawa main cerai bahaya ,,anger,0.0,0.0,0.0,0.0,1.0
ombak pantai parangtritis jogja ngeri ,,fear,1.0,0.0,0.0,0.0,0.0
jenniku sanagat cantik menggemaskan bayi sayang banget kamuuu imutan bayi ,,fear,1.0,0.0,0.0,0.0,0.0
menemukan film buku menginspirasi menggugah emosi ,,sadness,0.0,0.0,0.0,1.0,0.0
ngomong udah ngawur kasihan dijadikan kambing hitam terooos ,,joy,0.0,1.0,0.0,0.0,0.0
persahabatan filosopi ,,love,0.0,0.0,1.0,0.0,0.0
cinta pertamamu mengubah fisikmu ,,anger,0.0,0.0,0.0,0.0,1.0
tolong gimana ,,fear,1.0,0.0,0.0,9.68724e-319,7.62212898981758e-187
andai sehari ,,anger,0.0,0.0,0.0,0.0,1.0
username username klarifikasi ustadz zulkifli hadits kebanyakan dhaif umur umat islam dianggap remeh skrg perbanyak amal sholeh smkn smkn sulit berda ,,joy,0.0,1.0,0.0,0.0,0.0
username ridiella cantik banget gemeees makasih sayang ,,love,0.0,0.0,1.0,0.0,0.0
merobek sekitarku marah ,,anger,0.0,0.0,0.0,0.0,1.0
momen terhubung emosi pikiran ,,love,0.0,0.0,1.0,0.0,0.0
icut skip skip ,,sadness,0.0,0.0,0.0,1.0,0.0
jeno ganteng banget ,,love,0.0,0.0,1.0,0.0,0.0
pengen resign takut better ,,fear,1.0,0.0,0.0,0.0,0.0
username hallo kuota dipakai kuota udah habis mohon bantuannya ,,sadness,0.0,0.0,0.0,1.0,0.0
oppa tetep dengerin curhatan ,,love,0.0,0.0,1.0,0.0,0.0
cinta menyala ,,joy,0.0,1.0,0.0,0.0,0.0
merinding menyentuh pundakku ,,joy,0.0,1.0,0.0,0.0,0.0
marbot masjid semester sahuuuur sahuuur sahuuuuur buruan sahur skripsi dilanjutin diliat liatin niat lulus vallen mulu kampret ahhh ,,sadness,0.0,0.0,0.0,1.0,0.0
batalin sampah made jerman terlanjur diadakan sebelumnnya gimana belah biar ahoker happy kerjanya nyinyirin gubernur anies ,,anger,0.0,0.0,0.0,0.0,1.0
rame sexual harassment gara vallen bnyk kontra kontra ,,anger,0.0,0.0,0.0,0.0,1.0
bahagia pisces ,,love,0.0,0.0,1.0,0.0,0.0
takut kematian dibenarkan ketakutan ,,sadness,0.0,0.0,0.0,1.0,0.0
jatuh sakit penyakit membuatku jatuh cinta dirimu berharap menular ,,fear,1.0,0.0,0.0,6.475104102374202e-91,0.0
kalo liat orang naek motor lampu seinnya nyala ngga belok ,,joy,0.0,1.0,0.0,0.0,0.0
username pejabat korupsi contoh buruk masyarakat tunjukan taring daerah blom sentuh ,,anger,0.0,0.0,0.0,0.0,1.0
enam dikota ketiga ,,sadness,0.0,0.0,0.0,1.0,0.0
nanya username paketin internet berbagi ,,joy,0.0,1.0,0.0,0.0,0.0
rela pergi pagi menemui rela pulang malam menemani alasannya jalani sayang untukmu ragu sayang cinta untukmu biarine jalan ,,love,0.0,0.0,1.0,0.0,0.0
hahahaha alay ngancem ngereport spam ,,anger,0.0,0.0,0.0,0.0,1.0
desi sayang ,,love,0.0,0.0,1.0,0.0,0.0
nantikan malam melelapkan tidurmu sebelahku ,,fear,1.0,0.0,0.0,0.0,0.0
evaluasi dikit nyinyirin masalalu negara bangun hidup kemunduran kemerosotan moral gimana bangkit masalalu sibuk asik mengkritisi masalalu memikirkan kewajiban didepan mata ,,anger,0.0,0.0,0.0,0.0,1.0
gede gampang filter temen ,,joy,0.0,1.0,0.0,0.0,0.0
melewati,,fear,1.0,0.0,0.0,0.0,0.0
halohaa selamat siang denise udah pulang sekolah lupa makan siang ,,love,0.0,0.0,1.0,0.0,0.0
username username username bbrp disediakan contohnya pasar gembrong dipakai trotoar menghargai pedagang negeri aturan happy ,,joy,0.0,1.0,0.0,0.0,0.0
sepakat,,sadness,0.0,0.0,0.0,1.0,0.0
ngaku haha enga enak ,,anger,0.0,0.0023168286907157,0.0,0.0,0.9976831713092844
orang ngasih berobat ,,joy,0.0,1.0,0.0,0.0,0.0
jatuh cinta tidur kepikiran bikin bahagia karuan pdkt pacaran indah ,,sadness,0.0,0.0,0.0,1.0,0.0
bahaya gitu amit karna kepolosan sieun disuruh motong hayam motong sapi goreng bala bala ,,fear,1.0,0.0,0.0,0.0,0.0
coba dengerin album jatoh cinta sealbum identify abis nonton jaman debut naaah belajar dikit comeback just right ,,love,0.0,0.0,1.0,0.0,0.0
mbak erning ,,love,0.0,0.0,1.0,0.0,0.0
merasakan kehilangan mendalam ,,love,0.0,0.0,1.0,0.0,0.0
meraih pencapaian olahraga kegiatan fisik ,,sadness,0.0,0.0,0.0,1.0,0.0
ninggalin nyakitin sayang icintayou sayang ,,love,0.0,0.0,1.0,0.0,0.0
bahagiain orang bahagianya ,,fear,1.0,0.0,0.0,0.0,0.0
meledak amarah tertahan almostexploding ,,anger,0.0,0.0,0.0,0.0,1.0
masjid dianggap munculnya radikalisme pola pikir terbawa sekenario ,,joy,0.0,1.0,0.0,0.0,0.0
gimana bunda sayang kalo semanis muncul mimpi bunda bunda seneng dipanggil cerita cerita ,,sadness,0.0,0.0,0.0,1.0,0.0
temenku namanya helen kemarin sengaja bandara dateng rela masternim sayang huhuhu ,,sadness,0.0,0.0,0.0,1.0,0.0
allah ketularan orang genre musik giniehh lucu lagunya dibagian emang manjahhh pingin manjahhh ,,joy,0.0,1.0,0.0,0.0,0.0
cinta menghargai keragaman keindahan perbedaan ðÿ celebratingdiversity ,,joy,0.0,1.0,0.0,0.0,0.0
